time,angle_cmd,angle_meas,q_cmd,q_meas,elavator
12.2735,-0.0433119,-0.0407607,-0.0127563,-0.0103555,-0.0311705
12.2755,-0.0433675,-0.0407816,-0.0129298,-0.0104356,-0.0316626
12.2775,-0.0423651,-0.0408026,-0.00781246,-0.0105181,-0.00563627
12.2795,-0.0427696,-0.0408234,-0.00973089,-0.0104173,-0.0157255
12.2815,-0.0425911,-0.0408442,-0.00873424,-0.0103885,-0.0108698
12.2835,-0.0429241,-0.0408649,-0.0102962,-0.0103261,-0.0189915
12.2855,-0.0441303,-0.0408855,-0.0162241,-0.0103213,-0.0487135
12.2875,-0.0430653,-0.0409066,-0.0107935,-0.0105247,-0.0205462
12.2895,-0.0430267,-0.0409276,-0.0104952,-0.0105282,-0.0190371
12.2915,-0.0431832,-0.0409487,-0.0111728,-0.0105211,-0.0224671
12.2935,-0.0430437,-0.0409697,-0.0103698,-0.0105381,-0.0183658
12.2955,-0.0430674,-0.0409908,-0.010383,-0.0105261,-0.0184901
12.2975,-0.0424752,-0.0410118,-0.00731699,-0.0105152,-0.00318251
12.2995,-0.0428368,-0.0410326,-0.00902079,-0.0103973,-0.0122774
12.3015,-0.0439414,-0.0410533,-0.0144406,-0.0103446,-0.0396809
12.3035,-0.0426433,-0.0410743,-0.00784522,-0.0104844,-0.00597833
12.3055,-0.0428767,-0.041095,-0.00890812,-0.0103865,-0.0117678
12.3075,-0.0426817,-0.0411157,-0.00782995,-0.0103304,-0.00663245
12.3095,-0.0430403,-0.0411362,-0.00952082,-0.0102391,-0.0155362
12.3115,-0.0423938,-0.0411566,-0.00618622,-0.0102113,0.00103823
12.3135,-0.0424126,-0.0411767,-0.00617946,-0.0100679,0.000393834
12.3155,-0.0429234,-0.0411966,-0.00863381,-0.00993087,-0.0125499
12.3175,-0.0429276,-0.0412164,-0.00855632,-0.00988631,-0.012372
12.3195,-0.0433267,-0.0412361,-0.0104532,-0.00984109,-0.0220885
12.3215,-0.043154,-0.0412558,-0.00949115,-0.0098645,-0.0171576
12.3235,-0.044293,-0.0412755,-0.0150877,-0.00985308,-0.0452497
12.3255,-0.0433075,-0.0412956,-0.0100598,-0.0100385,-0.0191834
12.3275,-0.0439875,-0.0413156,-0.0133595,-0.0100389,-0.0357131
12.3295,-0.0435386,-0.041336,-0.0110134,-0.010155,-0.0234105
12.3315,-0.0427237,-0.0413563,-0.00683712,-0.0101835,-0.0023533
12.3335,-0.0434812,-0.0413765,-0.0105236,-0.0100642,-0.0213866
12.3355,-0.043774,-0.0413966,-0.011887,-0.0100797,-0.0281443
12.3375,-0.0429803,-0.0414169,-0.00781715,-0.0101423,-0.00745875
12.3395,-0.0433085,-0.041437,-0.00935735,-0.0100593,-0.0155678
12.3415,-0.0443158,-0.0414571,-0.0142937,-0.0100342,-0.0404179
12.3435,-0.0424667,-0.0414775,-0.00494646,-0.0101833,0.00711632
12.3455,-0.0434803,-0.0414974,-0.00991434,-0.0099977,-0.0186502
12.3475,-0.0434841,-0.0415174,-0.00983322,-0.00999495,-0.0182567
12.3495,-0.0432525,-0.0415374,-0.00857551,-0.00998948,-0.0119814
12.3515,-0.0436731,-0.0415573,-0.0105791,-0.00994016,-0.0222523
12.3535,-0.0437153,-0.0415772,-0.0106903,-0.00996339,-0.0226995
12.3555,-0.043297,-0.0415972,-0.00849916,-0.00998944,-0.0115986
12.3575,-0.0438503,-0.0416171,-0.0111662,-0.00993744,-0.0252059
12.3595,-0.0435939,-0.041637,-0.00978418,-0.00998138,-0.0180743
12.3615,-0.0433534,-0.041657,-0.00848226,-0.00997481,-0.0115826
12.3635,-0.0430993,-0.0416768,-0.00711223,-0.00992289,-0.00496397
12.3655,-0.0434354,-0.0416965,-0.00869436,-0.00982534,-0.0133511
12.3675,-0.0417586,-0.0417161,-0.000212826,-0.00978779,0.0289646
12.3695,-0.0431813,-0.041735,-0.00723185,-0.00945453,-0.00777458
12.3715,-0.0433476,-0.0417537,-0.00796936,-0.0093829,-0.0118062
12.3735,-0.0438735,-0.0417724,-0.0105052,-0.00934043,-0.0247094
12.3755,-0.0440465,-0.0417912,-0.0112765,-0.00938886,-0.0283427
12.3775,-0.0432864,-0.0418101,-0.00738129,-0.00946207,-0.00847966
12.3795,-0.043728,-0.0418289,-0.00949569,-0.00939527,-0.0193867
12.3815,-0.0436264,-0.0418477,-0.00889339,-0.00940571,-0.0163179
12.3835,-0.0447382,-0.0418665,-0.0143582,-0.00939452,-0.0437476
12.3855,-0.0435172,-0.0418857,-0.00815751,-0.0095755,-0.011825
12.3875,-0.0438057,-0.0419047,-0.00950463,-0.0095306,-0.0187848
12.3895,-0.043518,-0.0419238,-0.00797076,-0.00953502,-0.0110777
12.3915,-0.0429844,-0.0419428,-0.00520799,-0.00948543,0.00253093
12.3935,-0.0439366,-0.0419615,-0.00987589,-0.00934124,-0.0215349
12.3955,-0.0441337,-0.0419802,-0.0107674,-0.00936743,-0.0258752
12.3975,-0.0438115,-0.041999,-0.00906236,-0.00942366,-0.0170655
12.3995,-0.0438013,-0.0420179,-0.00891704,-0.00941747,-0.0163648
12.4015,-0.044586,-0.0420367,-0.0127467,-0.00940646,-0.0356016
12.4035,-0.0436508,-0.0420557,-0.00797532,-0.00953025,-0.0111102
12.4055,-0.0444833,-0.0420747,-0.0120432,-0.00948095,-0.0317218
12.4075,-0.0446218,-0.0420939,-0.0126397,-0.00957659,-0.0342565
12.4095,-0.0441298,-0.0421132,-0.0100829,-0.0096887,-0.0209159
12.4115,-0.0448969,-0.0421326,-0.0138214,-0.00970592,-0.0395638
12.4135,-0.043585,-0.0421524,-0.00716303,-0.00985346,-0.00550711
12.4155,-0.0451077,-0.0421719,-0.0146793,-0.00976063,-0.043602
12.4175,-0.0443481,-0.0421917,-0.0107817,-0.0099357,-0.0232471
12.4195,-0.0435899,-0.0422117,-0.00689123,-0.00996596,-0.00361253
12.4215,-0.0444939,-0.0422314,-0.0113127,-0.00985836,-0.0262725
12.4235,-0.0443987,-0.0422512,-0.0107373,-0.00991083,-0.0231412
12.4255,-0.0442976,-0.0422711,-0.0101325,-0.00994067,-0.0199701
12.4275,-0.0446723,-0.042291,-0.0119063,-0.00994792,-0.0288223
12.4295,-0.0442787,-0.042311,-0.00983818,-0.010017,-0.0181344
12.4315,-0.0444551,-0.042331,-0.0106201,-0.0100104,-0.022083
12.4335,-0.0451614,-0.0423511,-0.0140515,-0.0100315,-0.0391749
12.4355,-0.044917,-0.0423715,-0.0127278,-0.010172,-0.0318797
12.4375,-0.0448553,-0.042392,-0.0123165,-0.0102595,-0.029406
12.4395,-0.0444508,-0.0424126,-0.0101908,-0.0103286,-0.0184311
12.4415,-0.0448856,-0.0424333,-0.0122618,-0.0103199,-0.0288488
12.4435,-0.0443902,-0.042454,-0.00968069,-0.0103842,-0.0156145
12.4455,-0.0438298,-0.0424747,-0.00677546,-0.0103551,-0.00119832
12.4475,-0.044425,-0.0424952,-0.00964886,-0.0102254,-0.0162079
12.4495,-0.0447594,-0.0425156,-0.0112188,-0.0102025,-0.0241822
12.4515,-0.044178,-0.0425361,-0.00820983,-0.0102357,-0.0089509
12.4535,-0.0442168,-0.0425564,-0.00830214,-0.0101619,-0.00976297
12.4555,-0.0440488,-0.0425766,-0.00736114,-0.0100948,-0.00536634
12.4575,-0.0448974,-0.0425966,-0.0115041,-0.00999774,-0.0265811
12.4595,-0.044694,-0.0426167,-0.0103865,-0.0100505,-0.0207331
12.4615,-0.0444894,-0.0426368,-0.00926282,-0.0100616,-0.0150509
12.4635,-0.0448308,-0.0426569,-0.0108698,-0.0100328,-0.023238
12.4655,-0.0440927,-0.042677,-0.00707874,-0.0100617,-0.00410857
12.4675,-0.0437449,-0.0426969,-0.00524018,-0.00995633,0.00460441
12.4695,-0.0451337,-0.0427165,-0.0120861,-0.00979135,-0.0304732
12.4715,-0.0451704,-0.0427362,-0.0121706,-0.00987411,-0.0305049
12.4735,-0.044026,-0.0427562,-0.00634916,-0.00995599,-0.000952048
12.4755,-0.0441634,-0.0427758,-0.00693807,-0.00982991,-0.0044981
12.4775,-0.0446392,-0.0427953,-0.0092197,-0.00973033,-0.016399
12.4795,-0.0455262,-0.0428147,-0.0135576,-0.00971538,-0.0382017
12.4815,-0.0449739,-0.0428344,-0.0106973,-0.00985326,-0.0232192
12.4835,-0.0445466,-0.0428542,-0.00846231,-0.00988441,-0.0118743
12.4855,-0.0440928,-0.0428739,-0.00609471,-0.00983574,-0.000242207
12.4875,-0.0440802,-0.0428933,-0.00593448,-0.00970629,-5.06062e-05
12.4895,-0.0445651,-0.0429124,-0.00826349,-0.00957723,-0.0123279
12.4915,-0.0452436,-0.0429315,-0.0115604,-0.00953583,-0.0290395
12.4935,-0.0457148,-0.0429507,-0.0138205,-0.00961196,-0.0400017
12.4955,-0.0448066,-0.0429702,-0.009182,-0.00976381,-0.016044
12.4975,-0.0443167,-0.0429897,-0.00663489,-0.00974594,-0.0033667
12.4995,-0.044203,-0.043009,-0.00597013,-0.00963956,-0.000538107
12.5015,-0.0464029,-0.043028,-0.0168745,-0.0095148,-0.0557574
12.5035,-0.0440901,-0.0430476,-0.00521239,-0.00977824,0.00391605
12.5055,-0.0443233,-0.0430668,-0.00628242,-0.00962045,-0.00218968
12.5075,-0.0450884,-0.0430859,-0.0100126,-0.0095075,-0.0214101
12.5095,-0.0449725,-0.0431049,-0.00933805,-0.00953061,-0.0179202
12.5115,-0.0445874,-0.043124,-0.00731735,-0.00952897,-0.00780267
12.5135,-0.0448991,-0.0431429,-0.00878101,-0.00945654,-0.0154764
12.5155,-0.0454296,-0.0431618,-0.0113392,-0.00943879,-0.028375
12.5175,-0.0456167,-0.0431808,-0.0121795,-0.00951156,-0.0322393
12.5195,-0.0453587,-0.0432,-0.0107934,-0.00961042,-0.0248266
12.5215,-0.0450227,-0.0432193,-0.00901697,-0.00965606,-0.0157097
12.5235,-0.0460524,-0.0432386,-0.0140689,-0.00963728,-0.0411077
12.5255,-0.0459161,-0.0432582,-0.0132895,-0.00979654,-0.0364494
12.5275,-0.0452336,-0.043278,-0.00977769,-0.00992107,-0.0182661
12.5295,-0.0455147,-0.0432979,-0.011084,-0.00991665,-0.0248314
12.5315,-0.0456089,-0.0433178,-0.0114558,-0.00995824,-0.0264972
12.5335,-0.0457763,-0.0433378,-0.0121924,-0.0100109,-0.0299388
12.5355,-0.0453257,-0.043358,-0.00983868,-0.010087,-0.0177872
12.5375,-0.0456863,-0.0433781,-0.0115407,-0.0100771,-0.026362
12.5395,-0.0461388,-0.0433984,-0.0137021,-0.0101272,-0.0369535
12.5415,-0.0448776,-0.0434189,-0.00729339,-0.0102509,-0.00426237
12.5435,-0.0456957,-0.0434392,-0.0112826,-0.010144,-0.0247539
12.5455,-0.0456404,-0.0434595,-0.0109043,-0.0101821,-0.0226798
12.5475,-0.0449466,-0.0434799,-0.0073332,-0.0102051,-0.00468038
12.5495,-0.0461438,-0.0435001,-0.0132182,-0.0101018,-0.034653
12.5515,-0.0455512,-0.0435206,-0.0101534,-0.0102096,-0.018789
