time,q_cmd,q_meas,elevator
8.99571,0.3,0.290333,0.553999
8.99771,0.3,0.29034,0.554012
8.99971,0.3,0.290346,0.554024
9.00171,0.3,0.290353,0.554037
9.00371,0.3,0.29036,0.554049
9.00571,0.3,0.290367,0.554062
9.00771,0.3,0.290374,0.554074
9.00971,0.3,0.290381,0.554086
9.01171,0.3,0.290388,0.554099
9.01371,0.3,0.290395,0.554111
9.01571,0.3,0.290401,0.554123
9.01771,0.3,0.290408,0.554136
9.01971,0.3,0.290415,0.554148
9.02171,0.3,0.290422,0.55416
9.02371,0.3,0.290429,0.554173
9.02571,0.3,0.290436,0.554185
9.02771,0.3,0.290442,0.554197
9.02971,0.3,0.290449,0.554209
9.03171,0.3,0.290456,0.554222
9.03371,0.3,0.290463,0.554234
9.03571,0.3,0.29047,0.554246
9.03771,0.3,0.290476,0.554259
9.03971,0.3,0.290483,0.554271
9.04171,0.3,0.29049,0.554283
9.04371,0.3,0.290497,0.554295
9.04571,0.3,0.290504,0.554307
9.04771,0.3,0.29051,0.55432
9.04971,0.3,0.290517,0.554332
9.05171,0.3,0.290524,0.554344
9.05371,0.3,0.290531,0.554356
9.05571,0.3,0.290537,0.554368
9.05771,0.3,0.290544,0.554381
9.05971,0.3,0.290551,0.554393
9.06171,0.3,0.290558,0.554405
9.06371,0.3,0.290564,0.554417
9.06571,0.3,0.290571,0.554429
9.06771,0.3,0.290578,0.554441
9.06971,0.3,0.290585,0.554453
9.07171,0.3,0.290591,0.554466
9.07371,0.3,0.290598,0.554478
9.07571,0.3,0.290605,0.55449
9.07771,0.3,0.290611,0.554502
9.07971,0.3,0.290618,0.554514
9.08171,0.3,0.290625,0.554526
9.08371,0.3,0.290631,0.554538
9.08571,0.3,0.290638,0.55455
9.08771,0.3,0.290645,0.554562
9.08971,0.3,0.290651,0.554574
9.09171,0.3,0.290658,0.554586
9.09371,0.3,0.290665,0.554598
9.09571,0.3,0.290671,0.55461
9.09771,0.3,0.290678,0.554622
9.09971,0.3,0.290685,0.554634
9.10171,0.3,0.290691,0.554646
9.10371,0.3,0.290698,0.554658
9.10571,0.3,0.290705,0.55467
9.10771,0.3,0.290711,0.554682
9.1097,0.3,0.290718,0.554694
9.1117,0.3,0.290725,0.554706
9.1137,0.3,0.290731,0.554718
9.1157,0.3,0.290738,0.55473
9.1177,0.3,0.290744,0.554742
9.1197,0.3,0.290751,0.554753
9.1217,0.3,0.290758,0.554765
9.1237,0.3,0.290764,0.554777
9.1257,0.3,0.290771,0.554789
9.1277,0.3,0.290777,0.554801
9.1297,0.3,0.290784,0.554813
9.1317,0.3,0.29079,0.554825
9.1337,0.3,0.290797,0.554836
9.1357,0.3,0.290804,0.554848
9.1377,0.3,0.29081,0.55486
9.1397,0.3,0.290817,0.554872
9.1417,0.3,0.290823,0.554884
9.1437,0.3,0.29083,0.554896
9.1457,0.3,0.290836,0.554907
9.1477,0.3,0.290843,0.554919
9.1497,0.3,0.290849,0.554931
9.1517,0.3,0.290856,0.554943
9.1537,0.3,0.290862,0.554954
9.1557,0.3,0.290869,0.554966
9.1577,0.3,0.290875,0.554978
9.1597,0.3,0.290882,0.55499
9.1617,0.3,0.290888,0.555001
9.1637,0.3,0.290895,0.555013
9.1657,0.3,0.290901,0.555025
9.1677,0.3,0.290908,0.555036
9.1697,0.3,0.290914,0.555048
9.1717,0.3,0.290921,0.55506
9.1737,0.3,0.290927,0.555071
9.1757,0.3,0.290934,0.555083
9.1777,0.3,0.29094,0.555095
9.1797,0.3,0.290947,0.555106
9.1817,0.3,0.290953,0.555118
9.1837,0.3,0.29096,0.55513
9.1857,0.3,0.290966,0.555141
9.1877,0.3,0.290973,0.555153
9.1897,0.3,0.290979,0.555165
9.1917,0.3,0.290985,0.555176
9.1937,0.3,0.290992,0.555188
9.1957,0.3,0.290998,0.555199
9.1977,0.3,0.291005,0.555211
9.1997,0.3,0.291011,0.555222
9.2017,0.3,0.291018,0.555234
9.2037,0.3,0.291024,0.555246
9.2057,0.3,0.29103,0.555257
9.2077,0.3,0.291037,0.555269
9.2097,0.3,0.291043,0.55528
9.2117,0.3,0.291049,0.555292
9.2137,0.3,0.291056,0.555303
9.2157,0.3,0.291062,0.555315
